x,y,score
0.46,0.76,2.60805
0.54,0.86,2.8243
0.16,0.19,1.9481
0.61,0.18,2.62575
0.82,0.41,2.35315
0.72,0.66,3.14775
0.63,0.37,2.5272
0.41,0.28,2.4479
0.16,0.44,1.64605
0.8,0.33,2.35015
0.84,0.23,2.5809
0.25,0.48,1.98675
0.62,0.7,3.075
0.78,0.28,2.4874
0.03,0.68,1.1323
0.57,0.0,3.06025
0.69,0.37,2.49405
0.46,0.05,2.89155
0.65,0.03,2.9969
0.56,0.8,2.90725
0.28,0.44,2.0816
0.65,0.0,3.06945
0.57,0.1,2.80775
0.44,0.29,2.4673
0.63,0.49,2.8592
0.26,0.03,2.88695
0.92,0.27,2.5026
0.69,0.35,2.4397
0.79,0.78,3.6242
0.3,0.26,2.25575
0.98,0.54,2.23285
0.25,0.62,1.9297
0.55,0.43,2.65475
0.19,0.06,2.6559
0.14,0.65,1.55875
0.09,0.65,1.36135
0.92,1.0,3.98895
0.51,0.43,2.61245
0.36,0.66,2.27795
0.33,0.92,2.1524
0.01,0.93,1.0381
0.25,0.81,1.88745
0.9,0.46,2.3528
0.3,0.12,2.6266
0.87,0.59,2.94065
0.8,0.75,3.5346
0.93,0.2,2.65835
0.34,0.41,2.2998
0.05,0.48,1.23685
0.9,0.12,2.82855
0.59,0.65,3.0194
0.72,0.62,3.1099
0.29,0.87,2.0183
0.02,0.72,1.0776
0.8,0.35,2.3397
0.09,0.22,1.5402
0.05,0.61,1.21555
0.49,0.38,2.4864
0.62,0.21,2.5906
0.79,0.55,2.77635
0.64,0.52,2.77925
0.17,0.15,2.15765
0.45,0.81,2.5612
0.48,0.8,2.6549
0.51,0.39,2.5476
0.62,0.39,2.58355
0.58,0.64,2.9192
0.8,0.62,3.23745
0.6,0.07,2.8884
0.35,0.87,2.2238
0.85,0.83,3.7928
0.96,0.89,4.1182
0.68,0.4,2.5763
0.13,0.15,1.9654
0.14,0.31,1.6736
0.15,0.88,1.54545
0.72,0.97,3.36225
0.56,0.33,2.50115
0.52,0.26,2.4958
0.99,0.97,4.192
0.9,0.63,3.14145
0.31,0.47,2.16275
0.98,0.8,4.0098
0.31,0.34,2.2022
0.22,0.4,1.90245
0.87,0.37,2.2969
0.76,0.43,2.3548
0.79,0.76,3.52395
0.83,0.38,2.31005
0.74,0.12,2.79095
0.68,0.51,2.7785
0.56,0.43,2.55235
0.63,0.01,3.04295
0.45,0.24,2.50925
0.52,0.13,2.71435
0.64,0.47,2.8014
0.51,0.91,2.7192
0.78,0.92,3.5647
0.92,0.54,2.4773
0.75,0.83,3.48655
0.72,0.5,2.76035
0.53,0.74,2.8423
0.82,0.88,3.6946
0.63,0.35,2.54205
0.8,0.56,2.86385
0.99,0.8,4.0755
0.69,0.67,3.2753
0.44,0.43,2.52685
0.71,0.62,3.21045
0.63,0.08,2.85795
0.48,0.4,2.62885
0.93,0.51,2.3176
0.65,0.12,2.77065
0.78,0.34,2.38335
0.17,0.41,1.68915
0.59,0.93,2.97115
0.98,0.65,2.8897
0.89,0.49,2.35745
0.09,0.48,1.3816
0.98,0.94,4.1661
0.6,0.72,3.0316
0.74,0.48,2.6345
0.48,0.19,2.583
0.15,0.11,2.1877
0.86,0.55,2.7075
0.97,0.56,2.2544
1.0,0.64,2.892
0.43,0.66,2.51975
0.85,0.2,2.64275
0.02,0.64,1.09265
0.26,0.02,2.92185
0.12,0.68,1.4613
